id,titulo,autor,anio,protegida_en,motivos
1,Don Quijote de la Mancha,Miguel de Cervantes,1605,,año de muerte sin verificar
2,El Gaucho Martín Fierro,José Hernández,1872,,falta año de muerte del autor
3,Rimas,Gustavo Adolfo Bécquer,1871,,falta año de muerte del autor
4,La Regenta,"Leopoldo Alas ""Clarín""",1884,,falta año de muerte del autor
5,Fortunata y Jacinta,Benito Pérez Galdós,1887,,falta año de muerte del autor
7,María,Jorge Isaacs,1867,,falta año de muerte del autor
8,Cecilia Valdés,Cirilo Villaverde,1882,,falta año de muerte del autor
9,El Matadero,Esteban Echeverría,1871,,falta año de muerte del autor
10,Cuentos de amor de locura y de muerte,Horacio Quiroga,1917,MX(hasta 2037),año de muerte sin verificar
11,Romancero gitano,Federico García Lorca,1928,MX(hasta 2036),año de muerte sin verificar
12,Bodas de sangre,Federico García Lorca,1932,MX(hasta 2036),año de muerte sin verificar
14,Azul...,Rubén Darío,1888,,falta año de muerte del autor
15,Versos sencillos,José Martí,1891,,falta año de muerte del autor
16,Tradiciones peruanas (primera serie),Ricardo Palma,1872,,falta año de muerte del autor
17,Cuentos de la selva,Horacio Quiroga,1918,MX(hasta 2037),año de muerte sin verificar
18,Poesías,Delmira Agustini,1913,,año de muerte sin verificar
20,Los pazos de Ulloa,Emilia Pardo Bazán,1886,,año de muerte sin verificar
22,Niebla,Miguel de Unamuno,1914,MX(hasta 2036),año de muerte sin verificar
23,Soledades,Antonio Machado,1903,,falta año de muerte del autor
24,Cuentos frágiles,Manuel Gutiérrez Nájera,1883,,falta año de muerte del autor
100,"Física universitaria, volumen 1","Samuel J. Ling, Jeff Sanny, William Moebs (OpenStax)",2016,,no es dominio público sino 'Libre acceso (CC BY 4.0)': revisar licencia y atribución | falta año de muerte del autor
101,"Física universitaria, volumen 2","Samuel J. Ling, Jeff Sanny, William Moebs (OpenStax)",2016,,no es dominio público sino 'Libre acceso (CC BY 4.0)': revisar licencia y atribución | falta año de muerte del autor
102,"Física universitaria, volumen 3","Samuel J. Ling, Jeff Sanny, William Moebs (OpenStax)",2016,,no es dominio público sino 'Libre acceso (CC BY 4.0)': revisar licencia y atribución | falta año de muerte del autor
103,Química 2ed,OpenStax,2019,,no es dominio público sino 'Libre acceso (CC BY 4.0)': revisar licencia y atribución | falta año de muerte del autor
104,Cálculo (OpenStax),OpenStax,2016,,no es dominio público sino 'Libre acceso (CC BY 4.0)': revisar licencia y atribución | falta año de muerte del autor
105,Conceptos en Biología (OpenStax),OpenStax,2018,,no es dominio público sino 'Libre acceso (CC BY 4.0)': revisar licencia y atribución | falta año de muerte del autor
106,"Química General (OpenStax, vía LibreTexts español)",OpenStax,2019,,no es dominio público sino 'Libre acceso (CC BY 4.0)': revisar licencia y atribución | falta año de muerte del autor
107,Revista Chilena de Historia Natural,Sociedad de Biología de Chile,2020,,no es dominio público sino 'Acceso abierto (verificar licencia por artículo)': revisar licencia y atribución | falta año de muerte del autor
108,Revista Médica de Chile,Sociedad Médica de Santiago,2020,,no es dominio público sino 'Acceso abierto (verificar licencia por artículo)': revisar licencia y atribución | falta año de muerte del autor
109,Repositorio ANID — acceso abierto,Agencia Nacional de Investigación y Desarrollo (Chile),2022,,no es dominio público sino 'Acceso abierto por mandato legal': revisar licencia y atribución | falta año de muerte del autor
200,Leo Primero,Ministerio de Educación de Chile (MINEDUC),2023,,no es dominio público sino 'Descarga liberada para la ciudadanía': revisar licencia y atribución | falta año de muerte del autor
201,Sumo Primero,Ministerio de Educación de Chile (MINEDUC),2023,,no es dominio público sino 'Descarga liberada para la ciudadanía': revisar licencia y atribución | falta año de muerte del autor
202,Martín Rivas,Alberto Blest Gana,1862,,falta año de muerte del autor
203,Sub terra,Baldomero Lillo,1917,,falta año de muerte del autor
208,Recuerdos del pasado,Vicente Pérez Rosales,1886,,falta año de muerte del autor
